FINCAS,OPG,Individuos,Prop
AFF1,120,10,60
AFF2,120,5,60
CAF1,4100,10,60
CAF2,467,3,67
CAF3,525,4,75
EPF1,40,10,30
EPF2,14,7,14
ESF1,660,15,67
ESF2,60,5,40
LLF1,50,6,33
LLF2,533,6,83
PTF1,211,9,67
PTF2,30,10,30
PTF3,60,5,60
RGF1,100,10,60
RGF2,40,10,30
SAF1,25,4,25
SAF2,1044,9,89
SAF3,160,5,20
SAF4,140,5,60
SBF1,120,10,70
SBF2,50,8,38
SGF1,25,8,25
SGF2,387,15,60
SGF3,5700,6,100
SJF1,200,5,80
SJF2,183,6,50
SJF3,150,2,50
SMF1,150,2,100
SMF2,611,9,89
SNF1,360,10,70
SNF2,40,10,20
SNF3,460,5,100
SNF4,11,9,11
SNF5,14,7,14
TOF1,25,4,25
TOF2,0,2,0
TOF3,50,2,50
VSF1,783,6,100
VSF2,83,12,50
VSF3,114,7,57
VSF4,400,5,60
VSF5,80,5,60
